symbol,code,name,trade,pricechange,changepercent,buy,sell,settlement,open,high,low,volume,amount,ticktime,per,pb,mktcap,nmc,turnoverratio
sh600000,600000,浦发银行,12.230,-0.2,-1.609,12.230,12.240,12.430,12.390,12.480,12.220,57961597,712934903,15:00:01,8.993,0.538,35897714.912108,35897714.912108,0.19747
sh600009,600009,上海机场,32.390,-0.4,-1.22,32.380,32.390,32.790,32.780,32.880,32.390,6807669,222176878,15:00:03,41.526,1.911,8060191.06026,6214656.175572,0.35481
sh600010,600010,包钢股份,1.750,-0.01,-0.568,1.750,1.760,1.760,1.760,1.770,1.740,178634809,313840239,15:00:03,301.724,1.525,7925508.3859,5491639.700225,0.56925
sh600011,600011,华能国际,7.390,-0.01,-0.135,7.380,7.390,7.400,7.390,7.480,7.360,42716492,316841058,15:00:01,16.065,1.875,11600890.992301,8127307.630141,0.38841
sh600015,600015,华夏银行,7.490,-0.11,-1.447,7.490,7.500,7.600,7.600,7.670,7.490,61173579,462973125,15:00:01,4.623,0.391,11920281.422532,11525030.763267,0.39756
sh600016,600016,民生银行,4.160,-0.04,-0.952,4.160,4.170,4.200,4.190,4.220,4.160,182663416,764805016,15:00:01,6.5,0.327,18213486.096832,14752243.256608,0.51509
sh600018,600018,上港集团,5.750,-0.08,-1.372,5.750,5.760,5.830,5.820,5.860,5.740,22294436,129264610,15:00:01,8.929,0.974,13386785.02565,13348382.20855,0.09604
sh600019,600019,宝钢股份,6.860,0.0,0.0,6.860,6.870,6.860,6.870,7.000,6.860,59615426,412643543,15:00:01,20.176,0.74,15029329.783314,14942510.137814,0.27369
sh600023,600023,浙能电力,5.340,-0.07,-1.294,5.330,5.340,5.410,5.400,5.420,5.330,40706763,218889433,15:00:01,9.207,0.958,7160263.287966,7160263.287966,0.30358
sh600025,600025,华能水电,9.990,-0.12,-1.187,9.980,9.990,10.110,10.100,10.150,9.980,31675068,318175479,15:00:01,22.705,2.971,17982000.0,17982000.0,0.17597
sh600026,600026,中远海能,10.100,-0.12,-1.174,10.100,10.110,10.220,10.190,10.260,10.100,18264246,186025061,15:00:01,11.937,1.319,4818484.15895,3509524.15895,0.52562
sh600027,600027,华电国际,5.890,-0.05,-0.842,5.880,5.890,5.940,5.940,5.990,5.890,61945582,367422382,15:00:01,12.804,1.361,6024033.507337,5012582.916937,0.72789
sh600028,600028,中国石化,5.690,-0.09,-1.557,5.690,5.700,5.780,5.770,5.800,5.690,112996974,648065331,15:00:01,13.711,0.827,69009205.192162,53964998.340219,0.11914
sh600029,600029,南方航空,6.010,-0.1,-1.637,6.000,6.010,6.110,6.110,6.170,5.990,44233395,269000987,15:00:01,-66.778,3.205,10890670.443279,7616681.632943,0.34903
sh600030,600030,中信证券,25.670,-0.32,-1.231,25.670,25.680,25.990,25.930,26.150,25.660,66448183,1720713753,15:00:01,18.206,1.416,38044343.710043,31257206.350258,0.54571
sh600031,600031,三一重工,18.910,-0.16,-0.839,18.900,18.910,19.070,19.130,19.300,18.860,45361850,863572501,15:00:03,26.781,2.14,16026183.467967,16005832.147767,0.53593
sh600036,600036,招商银行,44.050,-0.46,-1.033,44.040,44.050,44.510,44.510,44.680,43.900,54146009,2395482582,15:00:01,7.783,1.042,111093419.8724,90870500.209745,0.26248
sh600039,600039,四川路桥,9.240,-0.06,-0.645,9.240,9.250,9.300,9.330,9.350,9.230,13661420,126741180,15:00:01,11.133,1.62,8048076.48414,6194162.84718,0.20379
sh600048,600048,保利发展,8.090,-0.08,-0.979,8.090,8.100,8.170,8.160,8.220,8.090,63255116,515798810,15:00:01,19.262,0.498,9684088.725162,9684088.725162,0.52843
sh600050,600050,中国联通,5.380,-0.05,-0.921,5.370,5.380,5.430,5.420,5.470,5.370,211470282,1147375782,15:00:01,18.425,1.004,16820260.825926,16552552.456326,0.68733
sh600061,600061,国投资本,6.880,-0.1,-1.433,6.880,6.890,6.980,6.970,7.010,6.880,17013576,118245281,15:00:03,16.78,0.839,4399059.139216,4399059.139216,0.26609
sh600066,600066,宇通客车,25.100,-0.11,-0.436,25.100,25.110,25.210,25.010,25.720,25.010,19410640,493550141,15:00:01,13.495,3.922,5556987.44973,5556987.44973,0.87675
